time,strokeIdx,pointIdx,posX,posY,posZ,rotX,rotY,rotZ,rotW,width,colR,colG,colB,colA
54.69936,9,38,-0.04515314,0.7450166,-0.2944177,-0.2959986,-0.9026094,-0.1732527,0.2601245,0.05693997,0,0.3681534,0.3044601,1
54.71272,9,39,-0.05027515,0.7519072,-0.2926123,-0.2948429,-0.8999406,-0.1780636,0.2673351,0.05693997,0,0.3681534,0.3044601,1
54.72223,9,40,-0.05351013,0.7601597,-0.291811,-0.2945012,-0.8970618,-0.1842912,0.2731043,0.05693997,0,0.3681534,0.3044601,1
54.73138,9,41,-0.05698365,0.7682577,-0.2910149,-0.2955948,-0.8937744,-0.1898749,0.2788165,0.05693997,0,0.3681534,0.3044601,1
54.74244,9,42,-0.0584484,0.7773587,-0.2911341,-0.3000609,-0.8899949,-0.1962872,0.2816803,0.05693997,0,0.3681534,0.3044601,1
54.75404,9,43,-0.05885392,0.7867333,-0.2919124,-0.3046295,-0.8864858,-0.2032274,0.282918,0.05693997,0,0.3681534,0.3044601,1
54.76498,9,44,-0.05853751,0.796744,-0.2928971,-0.3065023,-0.8838127,-0.210631,0.2838419,0.05693997,0,0.3681534,0.3044601,1
54.77609,9,45,-0.05790547,0.8067106,-0.2943424,-0.3073297,-0.8813101,-0.218753,0.2845845,0.05693997,0,0.3681534,0.3044601,1
54.78799,9,46,-0.05627492,0.8165051,-0.2961463,-0.3091661,-0.8785994,-0.2274296,0.2841747,0.05693997,0,0.3681534,0.3044601,1
54.79835,9,47,-0.05444062,0.8264384,-0.2978881,-0.3116259,-0.8758179,-0.2354716,0.2835235,0.05693997,0,0.3681534,0.3044601,1
54.80983,9,48,-0.0514853,0.8357544,-0.3003607,-0.3156273,-0.8732862,-0.2426361,0.2808529,0.05693997,0,0.3681534,0.3044601,1
54.82214,9,49,-0.04801238,0.8448513,-0.3033782,-0.3211758,-0.8705854,-0.2488241,0.2775137,0.05693997,0,0.3681534,0.3044601,1
54.83182,9,50,-0.04397255,0.8533798,-0.3065715,-0.326502,-0.8682781,-0.2553899,0.2725173,0.05693997,0,0.3681534,0.3044601,1
54.8437,9,51,-0.03941283,0.8616225,-0.3097676,-0.3313698,-0.8661056,-0.2619292,0.2672982,0.05693997,0,0.3681534,0.3044601,1
54.85561,9,52,-0.03524974,0.8694549,-0.3130281,-0.3360551,-0.8636231,-0.2677375,0.2637019,0.05693997,0,0.3681534,0.3044601,1
54.86526,9,53,-0.03039807,0.8766106,-0.3166019,-0.3401396,-0.8616001,-0.2729972,0.2596594,0.05693997,0,0.3681534,0.3044601,1
54.87657,9,54,-0.02525902,0.883158,-0.3201278,-0.3426421,-0.8607752,-0.2779018,0.253837,0.05693997,0,0.3681534,0.3044601,1
54.88869,9,55,-0.02009511,0.8889492,-0.3236283,-0.3443596,-0.860798,-0.2819327,0.2468954,0.05693997,0,0.3681534,0.3044601,1
54.89936,9,56,-0.01510569,0.894205,-0.3269389,-0.3469658,-0.8603047,-0.2856197,0.2406492,0.05693997,0,0.3681534,0.3044601,1
54.91004,9,57,-0.009479374,0.8968256,-0.3303521,-0.3506381,-0.8606449,-0.2862095,0.2332968,0.05693997,0,0.3681534,0.3044601,1
54.92207,9,58,-0.00409767,0.900093,-0.3336036,-0.3549828,-0.8603631,-0.2873016,0.2263194,0.05693997,0,0.3681534,0.3044601,1
54.93243,9,59,0.001079857,0.9000928,-0.3366021,-0.3598954,-0.8611608,-0.2851173,0.2181414,0.05693997,0,0.3681534,0.3044601,1
54.94666,9,60,0.006389767,0.9002377,-0.3396707,-0.3651713,-0.8617669,-0.2824669,0.2102861,0.05693997,0,0.3681534,0.3044601,1
54.95529,9,61,0.01131347,0.8973359,-0.3426835,-0.3722755,-0.8627716,-0.2760258,0.202104,0.05693997,0,0.3681534,0.3044601,1
54.96648,9,62,0.01596034,0.8911012,-0.3450149,-0.3801664,-0.8645741,-0.2661411,0.1927541,0.05693997,0,0.3681534,0.3044601,1
54.9779,9,63,0.02067012,0.8870899,-0.3474227,-0.3868636,-0.8655577,-0.2591675,0.1843332,0.05693997,0,0.3681534,0.3044601,1
57.23425,10,1,-0.07657138,0.8693037,-0.26685,-0.3715175,-0.874947,-0.255939,0.1758914,0.05693997,0.6523689,0.9261845,0.9261845,1
57.24646,10,2,-0.07647124,0.8695079,-0.2673197,-0.3777304,-0.8732633,-0.2544802,0.1731212,0.05693997,0.6523689,0.9261845,0.9261845,1
57.25587,10,3,-0.07708818,0.870602,-0.2676179,-0.3839369,-0.8700027,-0.2562556,0.1732654,0.05693997,0.6523689,0.9261845,0.9261845,1
57.26794,10,4,-0.07768929,0.8721349,-0.2676716,-0.3871663,-0.8678776,-0.2578919,0.1743066,0.05693997,0.6523689,0.9261845,0.9261845,1
57.2784,10,5,-0.07943368,0.8747932,-0.2670114,-0.3855312,-0.8667536,-0.2608908,0.1789974,0.05693997,0.6523689,0.9261845,0.9261845,1
57.29119,10,6,-0.08185926,0.878144,-0.2659286,-0.3788544,-0.8673517,-0.2648526,0.1844549,0.05693997,0.6523689,0.9261845,0.9261845,1
57.30163,10,7,-0.08467317,0.8816758,-0.2645102,-0.3711146,-0.8680764,-0.2695053,0.1899586,0.05693997,0.6523689,0.9261845,0.9261845,1
57.31358,10,8,-0.08776769,0.8848796,-0.2623997,-0.3641727,-0.8681484,-0.2742471,0.1961763,0.05693997,0.6523689,0.9261845,0.9261845,1
57.32281,10,9,-0.09110487,0.8883569,-0.260157,-0.3575912,-0.8683762,-0.2782609,0.2015496,0.05693997,0.6523689,0.9261845,0.9261845,1
57.33567,10,10,-0.09539649,0.8903359,-0.2567819,-0.346233,-0.8695556,-0.2828408,0.2097547,0.05693997,0.6523689,0.9261845,0.9261845,1
57.34542,10,11,-0.09889394,0.8921199,-0.2540826,-0.3364129,-0.8707322,-0.2864397,0.2158802,0.05693997,0.6523689,0.9261845,0.9261845,1
57.35722,10,12,-0.1031398,0.8928711,-0.2506258,-0.3244123,-0.8732134,-0.2884361,0.2214946,0.05693997,0.6523689,0.9261845,0.9261845,1
57.3686,10,13,-0.1071024,0.8911245,-0.2474722,-0.3140809,-0.8758318,-0.2879958,0.2265618,0.05693997,0.6523689,0.9261845,0.9261845,1
57.37907,10,14,-0.1105841,0.8895762,-0.2449889,-0.3066114,-0.8776795,-0.2867034,0.2312342,0.05693997,0.6523689,0.9261845,0.9261845,1
57.38992,10,15,-0.1128864,0.8850041,-0.2429159,-0.3035326,-0.8796965,-0.2824057,0.2329147,0.05693997,0.6523689,0.9261845,0.9261845,1
57.40297,10,16,-0.1144978,0.8785579,-0.2412937,-0.3038336,-0.881622,-0.2769536,0.2317857,0.05693997,0.6523689,0.9261845,0.9261845,1
57.41228,10,17,-0.1148368,0.8706517,-0.2407495,-0.3072992,-0.8828779,-0.2711837,0.2292451,0.05693997,0.6523689,0.9261845,0.9261845,1
57.42351,10,18,-0.115046,0.8621508,-0.2396134,-0.3123523,-0.8833435,-0.2661141,0.2265476,0.05693997,0.6523689,0.9261845,0.9261845,1
57.43589,10,19,-0.1154545,0.8523802,-0.238473,-0.3157484,-0.8846477,-0.2600266,0.223803,0.05693997,0.6523689,0.9261845,0.9261845,1
57.44654,10,20,-0.1154002,0.8427109,-0.2380496,-0.3164617,-0.8868012,-0.2537241,0.2214941,0.05693997,0.6523689,0.9261845,0.9261845,1
57.45703,10,21,-0.1155607,0.8329526,-0.2370375,-0.3163298,-0.8893266,-0.2470477,0.2190918,0.05693997,0.6523689,0.9261845,0.9261845,1
